station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PIB,2011-04-25 00:35,-89.3371,31.4671,91.00,75.20,60.80,60.90,170.00,7.00,null,30.00,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KPIB 250035Z AUTO 17007KT 10SM CLR 24/16 A3000 RMK AO1,null
MIS,2011-04-25 00:35,-88.8420,29.2960,32.00,82.40,73.40,74.28,220.00,6.00,null,30.01,null,2.50,11.00,FEW,FEW,SCT,   ,1000.00,1800.00,4600.00,null,HZ,null,null,null,null,null,null,88.26,KMIS 250035Z AUTO 22006G11KT 2 1/2SM HZ FEW010 FEW018 SCT046 28/23 A3001 RMK A01,null
MYT,2011-04-25 00:35,-89.6150,28.2206,0.00,78.80,73.40,83.55,150.00,15.00,null,29.97,null,2.00,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,82.03,KMYT 250035Z AUTO 15015KT 2SM HZ CLR 26/23 A2997 RMK A01,null
UTA,2011-04-25 00:35,-90.3467,34.6811,59.00,77.00,62.60,61.13,170.00,7.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KUTA 250035Z AUTO 17007KT 10SM CLR 25/17 A2990 RMK AO2,null
GTR,2011-04-25 00:50,-88.5914,33.4503,80.00,77.00,64.40,65.12,150.00,7.00,null,29.95,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KGTR 250050Z 15007KT 10SM SKC 25/18 A2995,null
TUP,2011-04-25 00:53,-88.7711,34.2608,110.00,77.00,61.00,57.73,180.00,4.00,null,29.93,1013.30,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KTUP 250053Z 18004KT 10SM CLR 25/16 A2993 RMK AO2 SLP133 T02500161,null
GLH,2011-04-25 00:53,-90.9856,33.4829,40.00,75.00,60.00,59.72,170.00,7.00,null,29.88,1012.10,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.02,KGLH 250053Z AUTO 17007KT 10SM CLR 24/16 A2988 RMK AO2 SLP121 T02390156,null
GPT,2011-04-25 00:53,-89.0701,30.4073,9.00,77.00,72.00,84.46,150.00,11.00,T,29.99,1015.60,10.00,null,BKN,   ,   ,   ,1500.00,null,null,null,null,null,null,null,null,null,null,78.37,KGPT 250053Z 15011KT 10SM BKN015 25/22 A2999 RMK AO2 RAB21E34 SLP156 P0000 T02500222,null
PQL,2011-04-25 00:53,-88.5319,30.4636,5.00,75.00,70.00,84.34,150.00,8.00,null,30.02,1016.60,10.00,null,SCT,SCT,BKN,   ,1700.00,2400.00,3200.00,null,null,null,null,null,null,null,null,76.19,KPQL 250053Z AUTO 15008KT 10SM SCT017 SCT024 BKN032 24/21 A3002 RMK AO2 SLP166 T02390211,null
MCB,2011-04-25 00:53,-90.4700,31.1800,126.00,75.00,63.00,66.13,150.00,7.00,null,29.95,1013.60,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.02,KMCB 250053Z AUTO 15007KT 10SM CLR 24/17 A2995 RMK AO2 SLP136 T02390172,null
HBG,2011-04-25 00:53,-89.2529,31.2649,46.00,77.00,65.00,66.36,170.00,11.00,null,29.99,1015.20,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KHBG 250053Z AUTO 17011KT 10SM CLR 25/18 A2999 RMK AO2 SLP152 T02500183 TSNO,null
HKS,2011-04-25 00:53,-90.2225,32.3348,104.00,77.00,63.00,61.91,160.00,10.00,null,29.92,1012.50,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KHKS 250053Z 16010KT 10SM CLR 25/17 A2992 RMK AO2 SLP125 T02500172,null
GWO,2011-04-25 00:53,-90.0847,33.4943,47.00,75.00,65.00,70.88,160.00,5.00,null,29.90,1012.40,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.02,KGWO 250053Z AUTO 16005KT 10SM CLR 24/18 A2990 RMK AO2 SLP124 T02390183,null
JAN,2011-04-25 00:54,-90.0800,32.3200,101.00,75.00,64.00,68.69,150.00,6.00,null,29.92,1012.90,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.02,KJAN 250054Z 15006KT 10SM CLR 24/18 A2992 RMK AO2 SLP129 T02390178,null
HEZ,2011-04-25 00:55,-91.2973,31.6137,83.00,77.00,60.80,57.36,180.00,7.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,77.00,KHEZ 250055Z AUTO 18007KT 10SM CLR 25/16 A2990 RMK AO1,null
MYT,2011-04-25 00:55,-89.6150,28.2206,0.00,77.00,73.40,88.67,140.00,16.00,null,29.97,null,2.00,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 250055Z AUTO 14016KT 2SM HZ CLR 25/23 A2997 RMK A01,null
BIX,2011-04-25 00:55,-88.9244,30.4104,10.00,76.64,73.22,89.19,160.00,10.00,null,30.00,1016.20,10.00,null,SCT,   ,   ,   ,1300.00,null,null,null,null,null,null,null,null,null,null,78.20,KBIX 250055Z AUTO 16010KT 10SM SCT013 25/23 A3000 RMK AO2 SLP162 T02480229,null
M16,2011-04-25 00:55,-90.4105,32.3045,75.30,75.20,64.40,69.14,140.00,5.00,null,29.91,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KM16 250055Z AUTO 14005KT 10SM CLR 24/18 A2991 RMK AO2,null
CKM,2011-04-25 00:55,-90.5123,34.2997,52.70,75.20,64.40,69.14,150.00,5.00,null,29.91,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KCKM 250055Z AUTO 15005KT 10SM CLR 24/18 A2991 RMK AO1,null
UTA,2011-04-25 00:55,-90.3467,34.6811,59.00,73.40,62.60,68.94,170.00,5.00,null,29.91,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KUTA 250055Z AUTO 17005KT 10SM CLR 23/17 A2991 RMK AO2,null
MIS,2011-04-25 00:55,-88.8420,29.2960,32.00,82.40,73.40,74.28,220.00,7.00,null,30.01,null,3.00,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,88.26,KMIS 250055Z AUTO 22007KT 3SM HZ CLR 28/23 A3001 RMK A01,null
HSA,2011-04-25 00:55,-89.4546,30.3678,7.00,75.20,75.20,100.00,150.00,7.00,null,29.98,null,7.00,null,SCT,   ,   ,   ,9000.00,null,null,null,null,null,null,null,null,null,null,77.12,KHSA 250055Z 15007KT 7SM SCT090 24/24 A2998,null
1R7,2011-04-25 00:55,-90.4093,31.6058,149.00,75.20,64.40,69.14,140.00,5.00,null,29.95,null,8.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,K1R7 250055Z AUTO 14005KT 8SM CLR 24/18 A2995 RMK AO2,null
CBM,2011-04-25 00:55,-88.4438,33.6438,67.00,71.78,62.42,72.36,150.00,7.00,null,29.95,1014.20,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,71.78,KCBM 250055Z AUTO 15007KT 10SM CLR 22/17 A2995 RMK AO2 SLP142 T02210169 $,null
UOX,2011-04-25 00:55,-89.5368,34.3843,137.80,73.40,60.80,64.69,null,null,null,29.94,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KUOX 250055Z AUTO 00000KT 10SM CLR 23/16 A2994 RMK AO2,null
PIB,2011-04-25 00:55,-89.3371,31.4671,91.00,73.40,60.80,64.69,160.00,7.00,null,30.00,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KPIB 250055Z AUTO 16007KT 10SM CLR 23/16 A3000 RMK AO1,null
CRX,2011-04-25 00:55,-88.6035,34.9150,129.00,73.40,64.40,73.44,140.00,3.00,null,29.95,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KCRX 250055Z AUTO 14003KT 10SM CLR 23/18 A2995 RMK AO2,null
NMM,2011-04-25 00:56,-88.5556,32.5521,97.00,74.00,62.00,66.43,null,null,null,29.98,1015.90,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.94,KNMM 250056Z 00000KT 10SM CLR 23/17 A2998 RMK AO2 SLP159 T02330167,null
MEI,2011-04-25 00:58,-88.7511,32.3347,94.00,74.00,63.00,68.57,170.00,6.00,null,29.98,1014.90,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.94,KMEI 250058Z 17006KT 10SM CLR 23/17 A2998 RMK AO2 SLP149 T02330172,null
PQL,2011-04-25 01:00,-88.5319,30.4636,5.00,75.20,69.80,83.32,160.00,7.00,null,30.02,null,10.00,null,SCT,BKN,   ,   ,1600.00,2400.00,null,null,null,null,null,null,null,null,null,76.34,KPQL 250100Z AUTO 16007KT 10SM SCT016 BKN024 24/21 A3002 RMK AO2,null
BIX,2011-04-25 01:02,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,8.00,null,30.00,1016.10,10.00,16.00,SCT,BKN,   ,   ,1200.00,2000.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250102Z AUTO 15008G16KT 10SM SCT012 BKN020 25/23 A3000 RMK AO2 SLP161,null
BIX,2011-04-25 01:04,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,11.00,null,30.00,1016.10,10.00,16.00,BKN,BKN,   ,   ,1400.00,2000.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250104Z AUTO 15011G16KT 10SM BKN014 BKN020 25/23 A3000 RMK AO2 CIG 012V017 SLP161,null
PQL,2011-04-25 01:09,-88.5319,30.4636,5.00,75.20,69.80,83.32,150.00,7.00,null,30.01,null,10.00,null,BKN,BKN,BKN,   ,1400.00,2000.00,2600.00,null,null,null,null,null,null,null,null,76.34,KPQL 250109Z AUTO 15007KT 10SM BKN014 BKN020 BKN026 24/21 A3001 RMK AO2,null
1R7,2011-04-25 01:15,-90.4093,31.6058,149.00,75.20,64.40,69.14,140.00,8.00,null,29.95,null,9.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,K1R7 250115Z AUTO 14008KT 9SM CLR 24/18 A2995 RMK AO2,null
PIB,2011-04-25 01:15,-89.3371,31.4671,91.00,75.20,62.60,64.91,160.00,10.00,null,29.99,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KPIB 250115Z AUTO 16010KT 10SM CLR 24/17 A2999 RMK AO1,null
CRX,2011-04-25 01:15,-88.6035,34.9150,129.00,73.40,64.40,73.44,140.00,4.00,null,29.95,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KCRX 250115Z AUTO 14004KT 10SM CLR 23/18 A2995 RMK AO2,null
UTA,2011-04-25 01:15,-90.3467,34.6811,59.00,69.80,62.60,77.90,150.00,5.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,69.80,KUTA 250115Z AUTO 15005KT 10SM CLR 21/17 A2990 RMK AO2,null
UOX,2011-04-25 01:15,-89.5368,34.3843,137.80,71.60,62.60,73.27,null,null,null,29.95,null,10.00,null,FEW,   ,   ,   ,8000.00,null,null,null,null,null,null,null,null,null,null,71.60,KUOX 250115Z AUTO 00000KT 10SM FEW080 22/17 A2995 RMK AO2,null
MYT,2011-04-25 01:15,-89.6150,28.2206,0.00,77.00,73.40,88.67,140.00,16.00,null,29.97,null,2.50,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 250115Z AUTO 14016KT 2 1/2SM HZ CLR 25/23 A2997 RMK A01,null
GTR,2011-04-25 01:15,-88.5914,33.4503,80.00,75.20,64.40,69.14,150.00,7.00,null,29.95,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KGTR 250115Z 15007KT 10SM CLR 24/18 A2995 RMK AO1,null
CKM,2011-04-25 01:15,-90.5123,34.2997,52.70,73.40,62.60,68.94,140.00,5.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KCKM 250115Z AUTO 14005KT 10SM CLR 23/17 A2990 RMK AO1,null
BIX,2011-04-25 01:15,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,9.00,null,30.00,1016.00,10.00,null,SCT,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250115Z AUTO 16009KT 10SM SCT013 BKN019 25/23 A3000 RMK AO2 SLP160,null
HEZ,2011-04-25 01:15,-91.2973,31.6137,83.00,75.20,60.80,60.90,170.00,7.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KHEZ 250115Z AUTO 17007KT 10SM CLR 24/16 A2990 RMK AO1,null
BIX,2011-04-25 01:17,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,10.00,null,30.00,1016.10,10.00,null,SCT,SCT,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250117Z AUTO 16010KT 10SM SCT013 SCT019 25/23 A3000 RMK AO2 SCT019 V BKN SLP161,null
BIX,2011-04-25 01:18,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,11.00,null,30.00,1016.00,10.00,null,SCT,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250118Z AUTO 16011KT 10SM SCT013 BKN019 25/23 A3000 RMK AO2 SLP160,null
BIX,2011-04-25 01:20,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,11.00,null,30.00,1016.10,10.00,null,BKN,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250120Z AUTO 15011KT 10SM BKN013 BKN019 25/23 A3000 RMK AO2 CIG 011V017 SLP161,null
BIX,2011-04-25 01:26,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,8.00,null,30.00,1016.00,10.00,null,SCT,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250126Z AUTO 16008KT 10SM SCT013 BKN019 25/23 A3000 RMK AO2 CIG 018V022 SLP160,null
BIX,2011-04-25 01:27,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,7.00,null,30.00,1016.10,10.00,null,BKN,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250127Z AUTO 16007KT 10SM BKN013 BKN019 25/23 A3000 RMK AO2 CIG 011V018 BKN013 V SCT SLP161,null
PQL,2011-04-25 01:28,-88.5319,30.4636,5.00,73.40,69.80,88.51,150.00,9.00,null,30.01,null,10.00,null,SCT,BKN,BKN,   ,1600.00,2800.00,4000.00,null,null,null,null,null,null,null,null,74.60,KPQL 250128Z AUTO 15009KT 10SM SCT016 BKN028 BKN040 23/21 A3001 RMK AO2,null
BIX,2011-04-25 01:34,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,11.00,null,30.00,1016.10,10.00,17.00,SCT,BKN,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250134Z AUTO 15011G17KT 10SM SCT013 BKN019 25/23 A3000 RMK AO2 SLP161,null
MIS,2011-04-25 01:35,-88.8420,29.2960,32.00,82.40,73.40,74.28,0.00,6.00,null,30.01,null,4.00,null,BKN,BKN,   ,   ,3100.00,3700.00,null,null,HZ,null,null,null,null,null,null,88.26,KMIS 250135Z AUTO VRB06KT 4SM HZ BKN031 BKN037 28/23 A3001 RMK A01,null
1R7,2011-04-25 01:35,-90.4093,31.6058,149.00,75.20,62.60,64.91,150.00,7.00,null,29.96,null,9.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,K1R7 250135Z AUTO 15007KT 9SM CLR 24/17 A2996 RMK AO2,null
UTA,2011-04-25 01:35,-90.3467,34.6811,59.00,71.60,62.60,73.27,140.00,6.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,71.60,KUTA 250135Z AUTO 14006KT 10SM CLR 22/17 A2990 RMK AO2,null
CKM,2011-04-25 01:35,-90.5123,34.2997,52.70,75.20,62.60,64.91,130.00,6.00,null,29.90,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KCKM 250135Z AUTO 13006KT 10SM CLR 24/17 A2990 RMK AO1,null
MYT,2011-04-25 01:35,-89.6150,28.2206,0.00,77.00,73.40,88.67,150.00,16.00,null,29.97,null,2.00,null,CLR,   ,   ,   ,null,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 250135Z AUTO 15016KT 2SM HZ CLR 25/23 A2997 RMK A01,null
GTR,2011-04-25 01:35,-88.5914,33.4503,80.00,75.20,64.40,69.14,160.00,7.00,null,29.96,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KGTR 250135Z 16007KT 10SM CLR 24/18 A2996 RMK AO1,null
UOX,2011-04-25 01:35,-89.5368,34.3843,137.80,71.60,62.60,73.27,null,null,null,29.96,null,10.00,null,SCT,   ,   ,   ,8000.00,null,null,null,null,null,null,null,null,null,null,71.60,KUOX 250135Z AUTO 00000KT 10SM SCT080 22/17 A2996 RMK AO2,null
M16,2011-04-25 01:35,-90.4105,32.3045,75.30,73.40,64.40,73.44,140.00,5.00,null,29.93,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KM16 250135Z AUTO 14005KT 10SM CLR 23/18 A2993 RMK AO2,null
CRX,2011-04-25 01:35,-88.6035,34.9150,129.00,71.60,64.40,78.04,null,null,null,29.96,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,71.60,KCRX 250135Z AUTO 00000KT 10SM CLR 22/18 A2996 RMK AO2,null
HEZ,2011-04-25 01:35,-91.2973,31.6137,83.00,75.20,62.60,64.91,170.00,6.00,null,29.91,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,75.20,KHEZ 250135Z AUTO 17006KT 10SM CLR 24/17 A2991 RMK AO1,null
PIB,2011-04-25 01:35,-89.3371,31.4671,91.00,73.40,62.60,68.94,160.00,10.00,null,29.99,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.40,KPIB 250135Z AUTO 16010KT 10SM CLR 23/17 A2999 RMK AO1,null
BIX,2011-04-25 01:38,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,9.00,null,30.00,1016.10,10.00,17.00,SCT,SCT,   ,   ,1300.00,2100.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250138Z AUTO 15009G17KT 10SM SCT013 SCT021 25/23 A3000 RMK AO2 SLP161,null
PQL,2011-04-25 01:41,-88.5319,30.4636,5.00,73.40,69.80,88.51,150.00,9.00,null,30.01,null,10.00,null,SCT,SCT,BKN,   ,2100.00,2600.00,3800.00,null,null,null,null,null,null,null,null,74.60,KPQL 250141Z AUTO 15009KT 10SM SCT021 SCT026 BKN038 23/21 A3001 RMK AO2,null
BIX,2011-04-25 01:46,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,9.00,null,30.00,1016.20,10.00,null,BKN,BKN,   ,   ,1300.00,2100.00,null,null,null,null,null,null,null,null,null,78.57,KBIX 250146Z AUTO 16009KT 10SM BKN013 BKN021 25/23 A3000 RMK AO2 CIG 011V018 SLP162,null
PQL,2011-04-25 01:48,-88.5319,30.4636,5.00,73.40,69.80,88.51,150.00,10.00,null,30.01,null,10.00,null,BKN,BKN,BKN,   ,2200.00,2900.00,4200.00,null,null,null,null,null,null,null,null,74.60,KPQL 250148Z AUTO 15010KT 10SM BKN022 BKN029 BKN042 23/21 A3001 RMK AO2,null
BIX,2011-04-25 01:50,-88.9244,30.4104,10.00,77.00,73.40,88.67,150.00,12.00,null,30.00,1016.20,10.00,16.00,SCT,   ,   ,   ,1300.00,null,null,null,null,null,null,null,null,null,null,78.57,KBIX 250150Z AUTO 15012G16KT 10SM SCT013 25/23 A3000 RMK AO2 SLP162,null
BIX,2011-04-25 01:52,-88.9244,30.4104,10.00,77.00,73.40,88.67,160.00,10.00,null,30.01,1016.30,10.00,16.00,BKN,   ,   ,   ,1300.00,null,null,null,null,null,null,null,null,null,null,78.57,KBIX 250152Z AUTO 16010G16KT 10SM BKN013 25/23 A3001 RMK AO2 CIG 011V018 SLP163,null
HBG,2011-04-25 01:53,-89.2529,31.2649,46.00,74.00,66.00,76.31,150.00,6.00,null,30.00,1015.40,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,73.94,KHBG 250153Z AUTO 15006KT 10SM CLR 23/19 A3000 RMK AO2 SLP154 T02330189 TSNO,null
TUP,2011-04-25 01:53,-88.7711,34.2608,110.00,76.00,61.00,59.84,170.00,4.00,null,29.95,1013.80,10.00,null,FEW,BKN,   ,   ,6000.00,8500.00,null,null,null,null,null,null,null,null,null,75.92,KTUP 250153Z 17004KT 10SM FEW060 BKN085 24/16 A2995 RMK AO2 SLP138 T02440161,null
GWO,2011-04-25 01:53,-90.0847,33.4943,47.00,72.00,66.00,81.57,null,null,null,29.92,1013.10,10.00,null,SCT,BKN,   ,   ,7000.00,8500.00,null,null,null,null,null,null,null,null,null,71.96,KGWO 250153Z AUTO 00000KT 10SM SCT070 BKN085 22/19 A2992 RMK AO2 SLP131 T02220189,null
